lon,lat,n
-87.6129454143,41.8919715078,1484
-87.6132286335,41.7179672564,6
-87.6132781783,41.7830141971,5
-87.6139168534,41.8039458974,2
-87.6139994504,41.808511513,3
-87.6141870291,41.8277887624,1
-87.6149864759,41.8205743953,2
-87.6152853223,41.7107155901,6
-87.6153264942,41.7032802648,1
-87.6162675703,41.6960577638,1
-87.6173580061,41.859349715,1229
-87.6175761725,41.8002600946,13
-87.6183216222,41.7911260852,1
-87.6187195937,41.8130462951,8
-87.6188683546,41.8909220259,4009
-87.6191404307,41.7326763501,1
-87.619143357,41.7253860857,1
-87.6192497579,41.8274416865,9
-87.6192895188,41.8340973906,3
-87.6195429239,41.7437209115,1
-87.6197106717,41.8950334495,3407
-87.6198449905,41.7546793318,1
-87.6205583422,41.7828634535,3
-87.6207628651,41.8983317935,2374
-87.6209929134,41.8849871918,5680
-87.6212199892,41.8038507848,9
-87.6214361442,41.8076176173,2
-87.621499206,41.8201666062,34
-87.6219716519,41.8774061234,1951
-87.6220364612,41.8420111804,12
-87.6221729369,41.8706073724,1124
-87.6231795767,41.7910416602,5
-87.6232200288,41.7769437808,1
-87.6237680464,41.8138063365,1
-87.624088952,41.8274002516,3
-87.6241352979,41.8492467545,347
-87.6251541272,41.8349623252,64
-87.6261455896,41.9027880476,851
-87.6262105324,41.8991556134,2705
-87.6262149064,41.8925077809,4188
-87.6266589003,41.9075200747,581
-87.6283572537,41.7179636757,1
-87.6283665103,41.8419280262,2
-87.6288741572,41.8920726347,1621
-87.6289833139,41.7686672562,1
-87.6291051864,41.9002212967,951
-87.6295663156,41.7275849467,9
-87.6298717446,41.7617023786,2
-87.6300448953,41.7424875717,4
-87.6305800611,41.8612808467,64
-87.6308650266,41.9058577688,596
-87.630963601,41.9094956686,163
-87.6314065252,41.8710158803,624
-87.6317173661,41.9146162864,923
-87.6318639497,41.8920421365,5896
-87.6320285927,41.8418752811,3
-87.6321092196,41.9002656868,614
-87.632184554,41.7544341714,1
-87.632245255,41.8018227527,15
-87.6325587694,41.8274372319,1
-87.6325885208,41.8163079956,1
-87.6327464887,41.8809944707,4272
-87.6329596351,41.834480698,23
-87.6341560931,41.922082541,615
-87.6343417807,41.7872788781,1
-87.6346478774,41.9346504482,26
-87.6350918563,41.8510178239,846
-87.6357600901,41.9074919303,1289
-87.635791217,41.8428074428,1
-87.6358909539,41.9292629902,395
-87.6373040854,41.6637597312,4
-87.6374396682,41.6887759153,1
-87.6376353868,41.7764307773,6
-87.6377304261,41.6997593569,5
-87.6378442095,41.8932163595,6284
-87.6381750671,41.7142521521,2
-87.638333371,41.8311571825,2
-87.6384040116,41.9015669095,200
-87.6384969156,41.7691898164,1
-87.6385749205,41.9383912577,476
-87.6387390279,41.7324415173,1
-87.6389644795,41.7397696793,12
-87.6392016498,41.8418595653,8
-87.6398538587,41.9347624564,417
-87.640698076,41.9431550855,408
-87.6409015248,41.9074128162,124
-87.6410707462,41.9128689225,34
-87.6411836567,41.9164733164,25
-87.6414597588,41.9217783562,250
-87.6414915334,41.897983898,32
-87.6422063127,41.9305785697,335
-87.6426052473,41.9268111821,142
-87.642648998,41.8792550844,1678
-87.6428084655,41.8853000224,1166
-87.6429586652,41.8679024175,583
-87.6430228044,41.9345397158,165
-87.6431623703,41.8350679168,9
-87.6434709559,41.9432371225,442
-87.6439324936,41.8417186095,14
-87.6439653703,41.949829346,877
-87.644209287,41.856309817,266
-87.6450896352,41.7836333784,1
-87.6451004847,41.7906684244,1
-87.6453787624,41.962178629,366
-87.6459662069,41.9145857091,179
-87.6460070664,41.9534000435,488
-87.6462109769,41.9218549112,2133
-87.6462934762,41.9290776551,635
-87.6467297286,41.9346591566,334
-87.6467820813,41.938232293,403
-87.6470785093,41.942577185,578
-87.647113634,41.946489764,154
-87.6486268165,41.8270879119,12
-87.6488131191,41.7478369814,2
-87.6489783241,41.8561441046,66
-87.6490722438,41.8446607763,7
-87.6492088283,41.7616128655,1
-87.6499072264,41.9049353016,590
-87.6502900743,41.9729293173,513
-87.6510618838,41.9217781876,928
-87.6513108767,41.9290469366,1066
-87.6514091317,41.7551743829,4
-87.6515625922,41.9363101308,705
-87.6516929533,41.8162234797,4
-87.6517530558,41.6813147793,1
-87.6517705068,41.9426918444,1113
-87.6519703953,41.9492209135,291
-87.6520492549,41.6886316646,1
-87.6522612961,41.8565067379,12
-87.6522740174,41.9801575735,259
-87.6523525183,41.7905644153,1
-87.6523653588,41.9636331692,447
