lon,lat,n
-87.7018845586,41.9047120004,1
-87.701941074,41.9768117505,16
-87.7020071282,41.9504044107,2
-87.7020985409,41.9595267906,3
-87.702699356,41.8481796587,2
-87.7027334697,41.9645069548,5
-87.7036682732,41.9868950432,1
-87.7038545435,41.9357064711,6
-87.7046056338,42.0074469243,6
-87.704648384,41.9210845826,1
-87.7048934862,41.9941436461,22
-87.7049072355,41.9283913974,10
-87.7055526328,41.87161966,1
-87.7057767012,41.9711428078,2
-87.7078663416,41.8615808621,4
-87.7088084239,41.8986992296,2
-87.7099873375,41.9374939696,1
-87.7101956338,41.915496209,1
-87.7103539349,41.9066839592,2
-87.7103591445,41.9210196071,3
-87.7108482084,41.9667749433,7
-87.7118213953,41.7382280867,2
-87.7119742544,41.9293297134,10
-87.7120363411,41.7455375706,2
-87.7122519178,41.8407574164,1
-87.7123574755,41.9336759885,5
-87.7128142315,41.9502120955,7
-87.7129731725,41.9592101847,2
-87.7132293348,41.9631157548,8
-87.7133688039,41.9865581808,6
-87.7134353285,41.9702449819,18
-87.7143824837,41.8533354466,1
-87.715732633,41.8566586145,2
-87.7164304157,41.9782942489,32
-87.717503858,41.942859303,6
-87.7177791062,41.8762234405,3
-87.7186707951,41.8917542026,11
-87.7189271854,41.8162644525,3
-87.7200993558,41.9155404081,2
-87.7201851765,41.8625777773,1
-87.7210167687,41.964652354,7
-87.7213158985,41.8990616211,1
-87.7215382944,41.9063227109,4
-87.7215645012,41.9261558167,1
-87.7218357934,41.9227117587,1
-87.7220523299,41.9337850524,2
-87.7223302976,41.9374017942,3
-87.7224042748,41.855238198,1
-87.722610871,41.9500776349,1
-87.7228222513,41.9573606908,6
-87.7231689742,41.969205937,1
-87.7237819658,41.9725977673,2
-87.723804133,41.8301172027,3
-87.7239678299,41.9900642527,39
-87.724267094,41.9297590466,4
-87.7258910154,41.9646477329,2
-87.7289580948,41.8712250372,6
-87.7310024842,41.9426995777,4
-87.7318327391,41.9653625868,3
-87.7322454045,41.8551039667,3
-87.7322869198,41.9152908359,2
-87.7324696377,41.8624142737,2
-87.7328887938,41.8770442134,1
-87.7335180512,41.8952576428,6
-87.7338570193,41.9061678698,2
-87.7339509975,41.9116665881,1
-87.7356259487,41.9278531896,1
-87.7360839271,41.9808436155,1
-87.7375361538,41.919825504,1
-87.7376199977,41.9350581526,1
-87.7377094687,41.8765230613,1
-87.7383939059,41.9587978628,8
-87.7385692263,41.9425542279,2
-87.7389372047,41.97153938,5
-87.7400551895,41.991119555,8
-87.7427878769,41.9646361993,2
-87.7438056558,41.9192261876,1
-87.7441731843,41.9076884994,1
-87.7443896126,41.935214804,3
-87.7445755674,41.8767621307,2
-87.7447575193,41.8987004986,1
