SITE_NAME,OWNERSHIP,PROTECTION,TYPECODE,DISTRICT,ACRES,ADDRESS,ZonAgg,TypeLong,OS_Own_Jur,OS_Mngmnt,POS,PA,ALT_NAME,AgncyJuris,PARK_ID,REGION,OS_ID,F_100ftRule,ZipCode,ParcelNumber,YearAcquired,STArea__,STLength__,Shape_Length,Shape_Area,shape_wkt
Adams Park,City of Boston,A97,3,Roslindale,0.70516097,4225 Washington Street,Commercial/Office/Business District,"Parks, Playgrounds & Athletic Fields",BPRD,Private,X,X,"Irving W. Adams Park, Roslindale Square, Hartin Square",BPRD,001,PARK_Maintenance_Region 4,1,YES,02131,2000037000,1919,NA,NA,0.002574921333117,3.1148677e-7,NA
Arnold Arboretum,City of Boston,A97/GPOD/WPA,3,Jamaica Plain,224.27199227,125 The Arborway; 25 Bussey Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,Private,X,X,NA,BPRD,011,PARK_Maintenance_Region 3,11,YES,"02130, 02131","1902795000,1902799000,1902801000",1882,NA,NA,0.070123680772695,9.9084819019e-5,NA
Hunt Playground,City of Boston,A97,3,Mattapan,18.67454331,40 Almont Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,Almont Park,BPRD,006,PARK_Maintenance_Region 2,6,YES,02126,"1802159003,1802158000,1802191000,1802193000,1802125000,1802192000,1802198000",1924,NA,NA,0.01521233665256,8.24738512e-6,NA
Pope John Paul II Park I,Commonwealth of Massachusetts,A97/ACEC/WPA,2,Dorchester,70.0061796,Hallet Street,Open Space District,"Parkways, Reservations & Beaches",DCR,DCR,X,X,NA,DCR,NA,INFO_Reallocation From Dept,3099,YES,"02124, 02122",NA,0,NA,NA,0.064106768524704,3.0920266761e-5,NA
Port Norfolk Park,Commonwealth of Massachusetts,A97/ACEC/WPA,2,Dorchester,12.72565183,NA,Open Space District,"Parkways, Reservations & Beaches",DCR,DCR,X,X,NA,DCR,NA,INFO_Reallocation From Dept,3100,YES,02122,NA,0,NA,NA,0.018307056880701,5.621377688e-6,NA
Pope John Paul II Park II,MBTA,NA,2,Dorchester,0.33162498,NA,Open Space District,"Parkways, Reservations & Beaches",DCR,DCR,N,X,"Neponset River Greenway, Lower Neponset River Trail",MBTA,NA,INFO_Reallocation From Dept,4091,YES,02122,NA,0,NA,NA,0.002820360065794,1.46485041e-7,NA
West Link Park,Commonwealth of Massachusetts,A97/WPA/Ch91,2,Dorchester,3.5877647,NA,Commercial/Office/Business District,"Parkways, Reservations & Beaches",DCR,DCR,X,X,Dorchester Shores Reservation,DCR,NA,INFO_Reallocation From Dept,3102,YES,02125,NA,0,NA,NA,0.007918569926042,1.585694342e-6,NA
Carson Beach,Commonwealth of Massachusetts,A97,2,South Boston,24.64637879,165 HarborWalk,Open Space District,"Parkways, Reservations & Beaches",DCR,NULL,X,X,NA,NA,NA,INFO_Reallocation From Dept,3103,YES,"02125, 02127",NA,0,NA,NA,0.043996623763469,1.0893777515e-5,NA
Commercial Point,Commonwealth of Massachusetts,A97/WPA/Ch91/LWCF,2,Dorchester,2.3815353,NA,Special District,"Parkways, Reservations & Beaches",DCR,DCR,X,X,Dorchester Shores Reservation,DCR,NA,INFO_Reallocation From Dept,3104,YES,02122,NA,0,NA,NA,0.005859808714831,1.052227206e-6,NA
Charles River Reservation,Commonwealth of Massachusetts,A97/Ch91/WPA,2,Multi-District,171.8958094,1175A Soldiers Field Road,Open Space District,"Parkways, Reservations & Beaches",DCR,DCR,X,X,"Charles River Esplanade, Herter Park, Daley Field",DCR,NA,INFO_Reallocation From Dept,3105,YES,"02134, 02115, 02163, 02135, 02114, 02108, 02116, 0",NA,0,NA,NA,0.560471538940369,7.6019960349e-5,NA
Forbes Street Playground,City of Boston,A97,3,Jamaica Plain,0.09115373,60 Forbes Street,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,NA,BPRD,120,PARK_Maintenance_Region 3,120,YES,02130,"1002525020,1002526000",0,NA,NA,8.55100572461e-4,4.0285996e-8,"MULTIPOLYGON (((-71.105871867999952 42.32055151000003, -71.105907320999961 42.320599103000063, -71.105961234999938 42.320671481000034, -71.106217606999962 42.320560674000035, -71.106163268999978 42.320489373000044, -71.106127845999936 42.320442847000038, -71.105871867999952 42.32055151000003)))"
Union Park Street Playground,Boston Water & Sewer Commission,Lease,3,South End,0.40978108,125 Union Park Street,Special District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,N,X,NA,BWSC,309,PARK_Maintenance_Region 6,309,YES,02118,"0801093010,0801092000",0,NA,NA,0.001906901387391,1.81159679e-7,"MULTIPOLYGON (((-71.065158758999985 42.33958277000005, -71.065710618999958 42.339761788000033, -71.065926913999988 42.339381348000074, -71.065670491999981 42.339304390000052, -71.065486818999943 42.33943471200007, -71.065436740999985 42.339397839000071, -71.065390587999957 42.33943238300003, -71.065158758999985 42.33958277000005)))"
Porzio Park,City of Boston,A97/LWCF/WPA/Ch91,3,East Boston,2.5042272,14 Jeffries Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,Jeffries Point Park,BPRD,244,PARK_Maintenance_Region 1,244,YES,02128,"0104418000,0104416000,0104437000",1975,NA,NA,0.007612637013179,1.107527144e-6,NA
Ross Playground,City of Boston,A97,3,Hyde Park,13.12502108,145 Westminster Street,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,NA,BPRD,270,PARK_Maintenance_Region 4,270,YES,02136,1807056000,1936,NA,NA,0.009948762108299,5.795551374e-6,NA
Mt. Hope Cemetery,City of Boston,Ch114S7/A97,4,Roslindale,125.0468468,355 Walk Hill Street,Residential District,Cemeteries & Burying Grounds,BPRD,BPRD,X,X,NA,BPRD,207,PARK_Cemetery Maintenance Request,207,YES,02131,1806135000,1851,NA,NA,0.038044192853972,5.5232400564e-5,NA
Calvary Cemetery,Private,NA,4,Roslindale,47.23675313,Mount Calvary Road,Residential District,Cemeteries & Burying Grounds,Private,Private,N,NA,NA,NA,NA,INFO_Reallocation From Dept,7186,NO,02131,NA,0,NA,NA,0.020386863778334,2.0862564684e-5,NA
New Calvary Cemetery,Private,NA,4,Mattapan,59.44638597,800 Harvard Street,Open Space District,Cemeteries & Burying Grounds,Private,Private,N,NA,NA,NA,NA,INFO_Reallocation From Dept,7187,NO,02126,NA,0,NA,NA,0.024921631120605,2.6255874772e-5,NA
Savin Hill Park,City of Boston,A97,3,Dorchester,8.29027606,25 Caspian Way,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,NA,BPRD,276,PARK_Maintenance_Region 2,276,YES,02125,1302499000,1909,NA,NA,0.00877960837395,3.663396154e-6,NA
Southwest Corridor Park,MBTA,A97,2,Multi-District,48.47692883,38 New Heath Street,Industrial District,"Parkways, Reservations & Beaches",DCR,DCR,X,X,NA,DCR,NA,INFO_Reallocation From Dept,4093,YES,"02118, 02130, 02119, 02115, 02116, 02120",NA,0,NA,NA,0.161933185359525,2.1425178291e-5,NA
Orton Field,City of Boston,A97,3,South Boston,1.59444514,200 D Street,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,Condon Playground,BPRD,222,PARK_Maintenance_Region 6,222,YES,02127,0600312000,0,NA,NA,0.003446889856691,7.04878879e-7,NA
Paul Gore Street Park,City of Boston,A97,3,Jamaica Plain,0.73401153,60 Paul Gore Street,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,Paul Gore Street Garden;  Paul Gore Street Playground,BPRD,230,PARK_Maintenance_Region 3,230,YES,02130,1900248000,0,NA,NA,0.002538829572003,3.24399021e-7,NA
Allen Park,City of Boston,A97,3,Dorchester,1.2934467,1-19 Church Street,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,"Rev James K Allen Park, James F Donovan Park, Dorchester Square or Common",BPRD,005,PARK_Maintenance_Region 2,5,YES,02122,1500365000,0,NA,NA,0.003092097785888,5.71537989e-7,NA
Boston Nature Center_Visitor Ctr,City of Boston,Trust Fund,3,Mattapan,2.33062761,500 Walk Hill Street,Industrial District,"Parks, Playgrounds & Athletic Fields",White Fund,Mass Audubon Society,X,X,G R White Env Conserv Ctr,NA,NA,INFO_Reallocation From Dept,2125,YES,"02126, 02131",NA,0,NA,NA,0.004105133260329,1.029519673e-6,"MULTIPOLYGON (((-71.101249025999948 42.287800716000049, -71.100783104999948 42.287889894000045, -71.100701471999969 42.287907265000058, -71.10063637099995 42.288535047000039, -71.101263801999949 42.288691077000067, -71.101958797999941 42.28875828200006, -71.101765801999989 42.287726845000066, -71.101249025999948 42.287800716000049)))"
Boston Nature Center,Private,LandTrust/Statt,6,Mattapan,58.53167285,500 Walk Hill Street,Industrial District,Urban Wilds,Mass Audubon Society,Mass Audubon Society,X,X,NA,NA,NA,INFO_Reallocation From Dept,7189,YES,"02126, 02131",NA,0,NA,NA,0.038891905626899,2.5855509839e-5,NA
Cunningham Park,City of Boston,A97,1,Allston-Brighton,0.17970201,725 Cambridge Street,Open Space District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,NA,BPRD,075,PARK_Maintenance_Region 4,75,YES,02135,2202327000,0,NA,NA,0.001465140932583,7.9457678e-8,"MULTIPOLYGON (((-71.14740739399997 42.350171571000033, -71.147820528999944 42.350272222000058, -71.148013705999972 42.349934628000028, -71.14740739399997 42.350171571000033)))"
